Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-10-07,122.756,124.678,122.613,124.343,4390500,0.0,0.0
2020-10-08,124.669,125.175,123.818,124.009,3595600,0.0,0.0
2020-10-09,124.277,125.424,123.646,125.223,4293400,0.0,0.0
2020-10-12,125.424,125.567,123.579,123.77,5136500,0.0,0.0
2020-10-13,122.422,124.162,122.336,123.521,4245000,0.0,0.0
2020-10-14,123.837,123.904,121.428,122.049,3586600,0.0,0.0
2020-10-15,120.921,123.426,120.567,123.33,4235800,0.0,0.0
2020-10-16,123.818,124.468,121.944,122.374,6010900,0.0,0.0
2020-10-19,123.426,124.076,121.466,121.829,5160800,0.0,0.0
2020-10-20,122.374,124.19,122.106,122.842,3799200,0.0,0.0
2020-10-21,122.852,125.605,122.804,123.741,4916300,0.0,0.0
2020-10-22,123.904,124.535,123.196,124.305,2869900,0.0,0.0
2020-10-23,124.286,124.86,122.995,124.277,4046300,0.0,0.0
2020-10-26,123.387,123.923,121.112,122.728,5422500,0.0,0.0
2020-10-27,123.12,123.799,122.278,122.364,2985700,0.0,0.0
2020-10-28,119.774,120.844,115.72,116.714,8618300,0.0,0.0
2020-10-29,116.905,118.731,115.825,117.46,4947000,0.0,0.0
2020-10-30,118.225,118.225,113.578,114.802,7791600,0.0,0.0
2020-11-02,116.991,118.645,115.777,117.011,4740400,0.0,0.0
2020-11-03,118.559,119.984,117.775,119.114,3490900,0.0,0.0
2020-11-04,119.821,123.263,119.754,121.743,5061800,0.0,0.0
2020-11-05,123.512,124.678,122.814,123.999,3940000,0.0,0.0
2020-11-06,124.2,124.2,122.709,123.234,2954000,0.0,0.0
2020-11-09,129.124,130.357,123.11,123.282,7491700,0.0,0.0
2020-11-10,124.334,124.401,120.701,122.097,8014700,0.0,0.0
2020-11-11,123.034,124.095,121.59,122.049,6058700,0.0,0.0
2020-11-12,121.055,122.221,120.108,121.074,4780400,0.0,0.0
2020-11-13,122.288,122.948,121.255,122.642,3986100,0.0,0.0
2020-11-16,123.77,124.592,121.772,124.391,6116200,0.0,0.0
2020-11-17,124.745,126.772,123.435,126.399,7002900,0.0,0.0
2020-11-18,127.221,128.091,125.749,125.844,5572800,0.0,0.0
2020-11-19,126.122,126.303,124.219,126.112,4642800,0.0,0.0
2020-11-20,127.441,127.661,126.112,127.135,4318100,0.0,0.0
2020-11-23,128.474,128.961,127.24,128.235,6118400,0.0,0.0
2020-11-24,129.066,130.013,128.311,128.779,7204700,0.0,0.0
2020-11-25,128.349,129.831,127.747,129.583,4484500,0.0,0.0
2020-11-27,130.022,130.147,127.479,128.349,3506800,0.0,0.0
2020-11-30,128.024,129.344,126.858,128.779,9652500,0.0,0.0
2020-12-01,130.443,130.5,128.827,129.487,3833100,0.0,0.0
2020-12-02,129.219,130.328,128.751,129.621,4132700,0.0,0.0
2020-12-03,129.162,131.887,129.066,130.94,4930900,0.0,0.0
2020-12-04,131.319,131.625,129.939,131.424,4344000,0.275,0.0
2020-12-07,131.242,133.024,131.05,132.918,4590800,0.0,0.0
2020-12-08,132.43,134.537,131.865,133.273,6953600,0.0,0.0
2020-12-09,134.662,134.662,132.459,132.957,4341300,0.0,0.0
2020-12-10,132.468,133.292,131.472,131.798,4511000,0.0,0.0
2020-12-11,131.616,132.334,130.504,131.635,4172400,0.0,0.0
2020-12-14,133.081,133.158,130.476,130.552,7599000,0.0,0.0
2020-12-15,131.654,133.579,131.481,133.531,7637000,0.0,0.0
2020-12-16,133.225,134.585,131.683,132.526,6573400,0.0,0.0
2020-12-17,134.039,134.825,132.918,134.595,8727000,0.0,0.0
2020-12-18,135.16,135.208,131.405,131.51,17970800,0.0,0.0
2020-12-21,138.733,141.732,136.52,137.967,16111300,0.0,0.0
2020-12-22,137.038,137.44,135.16,136.463,6339400,0.0,0.0
2020-12-23,136.568,137.565,135.744,135.802,3388300,0.0,0.0
2020-12-24,135.17,136.214,135.17,135.649,1821900,0.0,0.0
2020-12-28,136.549,136.913,135.112,136.444,4081500,0.0,0.0
2020-12-29,136.827,137.047,134.528,135.62,3232400,0.0,0.0
2020-12-30,136.185,136.616,134.748,135.629,3052100,0.0,0.0
2020-12-31,135.744,135.831,134.47,135.524,2949900,0.0,0.0
2021-01-04,136.846,136.961,132.506,134.212,6178500,0.0,0.0
2021-01-05,132.775,135.706,132.775,135.294,4163100,0.0,0.0
2021-01-06,135.313,137.536,133.666,136.367,6072900,0.0,0.0
2021-01-07,137.181,139.519,136.99,138.858,5256900,0.0,0.0
2021-01-08,139.433,140.649,138.81,140.199,3950500,0.0,0.0
2021-01-11,139.864,140.917,138.714,140.87,4252000,0.0,0.0
2021-01-12,140.343,140.678,138.312,138.954,3678800,0.0,0.0
2021-01-13,138.743,139.03,136.444,137.028,3330100,0.0,0.0
2021-01-14,137.622,138.81,135.007,135.361,4104000,0.0,0.0
2021-01-15,134.652,136.396,134.001,134.806,6412400,0.0,0.0
2021-01-19,135.064,135.285,132.593,133.417,6537800,0.0,0.0
2021-01-20,134.48,137.191,134.125,136.798,4654400,0.0,0.0
2021-01-21,136.425,137.766,135.198,135.658,4011200,0.0,0.0
2021-01-22,135.16,135.917,133.455,133.493,4150500,0.0,0.0
2021-01-25,133.148,133.33,129.077,131.769,5998700,0.0,0.0
2021-01-26,131.97,132.056,129.048,129.422,5312300,0.0,0.0
2021-01-27,126.663,127.276,124.795,125.513,7815900,0.0,0.0
2021-01-28,126.797,130.638,125.973,129.058,6244600,0.0,0.0
2021-01-29,128.32,129.355,126.596,127.975,7166100,0.0,0.0
2021-02-01,129.68,130.332,127.697,130.006,4366800,0.0,0.0
2021-02-02,131.299,133.982,131.002,133.723,7132800,0.0,0.0
2021-02-03,133.828,134.173,132.209,132.803,4678600,0.0,0.0
2021-02-04,133.685,135.122,133.081,134.719,4533700,0.0,0.0
2021-02-05,135.4,139.452,135.352,139.011,6151500,0.0,0.0
2021-02-08,139.049,139.749,136.798,137.383,6304300,0.0,0.0
2021-02-09,137.565,138.158,135.744,135.831,3436300,0.0,0.0
2021-02-10,136.463,136.607,134.978,136.472,4125700,0.0,0.0
2021-02-11,136.99,138.283,136.425,137.507,3828700,0.0,0.0
2021-02-12,137.095,137.421,135.457,136.147,3637000,0.0,0.0
2021-02-16,137.344,137.344,135.103,135.754,4873400,0.0,0.0
2021-02-17,135.361,138.484,134.317,137.938,6437100,0.0,0.0
2021-02-18,136.971,139.279,135.275,138.992,4486800,0.0,0.0
2021-02-19,139.318,139.385,135.553,136.051,7486000,0.0,0.0
2021-02-22,135.591,136.472,130.533,130.926,8985900,0.0,0.0
2021-02-23,130.313,131.079,126.05,130.409,10364100,0.0,0.0
2021-02-24,129.384,130.246,128.32,129.949,6360900,0.0,0.0
2021-02-25,131.817,133.33,128.876,129.843,5674300,0.0,0.0
2021-02-26,130.453,131.365,128.015,129.378,6650200,0.275,0.0
2021-03-01,130.203,133.573,130.069,132.133,5717800,0.0,0.0
2021-03-02,132.046,132.718,130.174,131.528,5292700,0.0,0.0
2021-03-03,131.595,131.902,128.773,128.879,4888400,0.0,0.0
2021-03-04,128.629,129.714,124.962,126.748,7181500,0.0,0.0
2021-03-05,128.187,128.322,124.012,128.005,5957100,0.0,0.0
2021-03-08,128.283,130.194,127.064,129.167,4983000,0.0,0.0
2021-03-09,130.078,132.469,130.021,130.501,5977800,0.0,0.0
2021-03-10,131.029,132.661,130.645,132.075,4519600,0.0,0.0
2021-03-11,133.601,136.5,133.006,135.531,5696500,0.0,0.0
2021-03-12,134.389,135.262,133.045,134.82,4143200,0.0,0.0
2021-03-15,135.06,139.188,135.032,139.131,5413900,0.0,0.0
2021-03-16,140.033,140.292,138.075,138.852,5623000,0.0,0.0
2021-03-17,137.46,140.292,137.46,139.015,5134400,0.0,0.0
